t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo
74,108,125,167,0.5825,0.5267262688295412,1.6922835573366402,60,36,29,19,19,0.6006551043483587,8.8611123117055,228.93771835802937
75,107,123,170,0.5825,0.5286016831290461,1.6922835573366402,58,38,27,18,18,0.5723442958950737,8.380002817534137,211.74651366395932
76,104,120,176,0.575,0.5303064805786813,1.6922835573366402,57,37,26,17,17,0.5293662841598984,7.127282593537238,215.44258608327044
77,98,123,179,0.56,0.5320284002516515,1.6922835573366402,58,39,26,19,19,0.5386064652081763,8.192111662135567,216.73553765618882
78,104,114,182,0.5525,0.5337565769440549,1.6922835573366402,57,34,23,15,15,0.5418388441404723,7.191362487620541,195.4893932718027
79,104,110,186,0.545,0.5353191260565557,1.6922835573366402,52,33,25,16,16,0.488723483179507,6.028858109630489,191.06621971723547
80,100,112,188,0.535,0.5368618298998875,1.6922835573366402,51,34,27,15,15,0.4776655492930887,5.842127448581884,186.6358262987604
81,87,123,190,0.53,0.5384009836852587,1.6922835573366402,53,39,31,18,18,0.4665895657469011,5.981418259100544,220.7610496421617
82,93,115,192,0.525,0.5401252132940688,1.6922835573366402,48,35,32,16,16,0.5519026241054044,6.8675768755803475,215.20110311170725
83,99,108,193,0.52,0.5417699410398216,1.6922835573366402,41,36,31,18,18,0.5380027577792681,6.762177941980106,208.20295627975685
84,101,104,195,0.5175,0.5433258523079055,1.6922835573366402,42,36,26,16,16,0.5205073906993922,6.403190903951242,190.69842328508258
85,99,102,199,0.5125,0.5447981620980942,1.6922835573366402,43,32,27,17,17,0.4767460582127066,5.679762411845471,193.60851271435888
86,97,101,202,0.5025,0.546236066704656,1.6922835573366402,45,30,26,15,15,0.48402128178589726,6.353836435573506,186.12034093835442
87,88,103,209,0.495,0.5476316997952295,1.6922835573366402,47,32,24,16,16,0.46530085234588614,6.930051115776349,200.45830846717018
88,88,95,217,0.4775,0.5490895777868813,1.6922835573366402,42,30,23,15,15,0.5011457711679256,7.914468359930084,186.6057057549969
89,87,94,219,0.4575,0.5504257740777424,1.6922835573366402,41,31,22,14,14,0.4665142643874924,7.529079131475148,163.93722826591693
90,87,90,223,0.4525,0.5516967648919553,1.6922835573366402,40,30,20,15,15,0.4098430706647923,6.375397199699567,174.1501050363837
91,85,91,224,0.4425,0.5529422963815998,1.6922835573366402,40,31,20,14,14,0.4353752625909593,6.393139404285483,178.729628000812
92,87,87,226,0.44,0.5541975916080517,1.6922835573366402,36,30,21,14,14,0.44682407000203006,6.810787384339261,168.68753274741692
93,87,83,230,0.435,0.5554026817501166,1.6922835573366402,36,25,22,16,16,0.42171883186854237,6.961406600704285,177.8796336773475
94,86,82,232,0.425,0.5566276277702576,1.6922835573366402,36,25,21,15,15,0.44469908419336873,8.043026223873868,174.00730592073137
95,81,84,235,0.42,0.5578364547143033,1.6922835573366402,38,24,22,16,16,0.4350182648018284,7.746976237184553,185.490962192938
96,83,79,238,0.4125,0.5591356827217453,1.6922835573366402,34,22,23,16,16,0.46372740548234503,8.4623292501163,174.47025305005013
97,78,81,241,0.405,0.5603409353749814,1.6922835573366402,35,23,23,16,16,0.4361756326251253,7.486334684420428,173.6197987288562
98,78,80,242,0.3975,0.5615345626325559,1.6922835573366402,34,24,22,15,15,0.43404949682214067,7.595787219537824,171.4456110156445
99,73,83,244,0.395,0.5626825415281982,1.6922835573366402,38,26,19,16,16,0.42861402753911143,7.851883621271867,179.45270995753168
100,72,81,247,0.39,0.5639047606275728,1.6922835573366402,35,24,22,15,15,0.4486317748938293,7.665688456391117,165.36759285543738
