t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,estrategia
162,43,19,338,0.16,0.3853606408751456,1.6922835573366402,11,3,5,3,3,0.09901948483900483,2.1461360130396776,36.85519114695803,0.0,Educación mediática
163,40,21,339,0.155,0.38547811570537616,1.6922835573366402,12,3,6,4,4,0.09213797786739508,2.366200378221785,51.44936002039564,2.0,Educación mediática
164,46,15,339,0.1525,0.385630152472301,1.6922835573366402,9,2,4,3,3,0.12862340005098907,3.553310403522064,41.59642831005967,-6.0,Educación mediática
165,46,15,339,0.1525,0.38574582095071946,1.6922835573366402,10,2,3,3,3,0.1039910707751492,2.724984066234945,40.227405671767094,0.0,Educación mediática
166,47,13,340,0.1525,0.3858565257203816,1.6922835573366402,8,2,3,3,3,0.10056851417941776,2.724984066234945,36.96911688080113,-2.0,Educación mediática
167,48,12,340,0.15,0.38595222629821874,1.6922835573366402,8,2,2,3,3,0.09242279220200283,2.6676154390451536,32.71211617768144,-1.0,Educación mediática
168,49,11,340,0.15,0.3860342913702216,1.6922835573366402,8,1,2,3,3,0.0817802904442036,2.6676154390451536,31.738362205719074,-1.0,Educación mediática
169,46,10,344,0.15,0.3861100257612371,1.6922835573366402,8,1,1,3,3,0.07934590551429768,2.549067569044302,28.106376450912677,-1.0,Educación mediática
170,45,11,344,0.14,0.3861807715551627,1.6922835573366402,7,3,1,3,3,0.07026594112728171,2.0154997828644494,29.498650956034485,1.0,Educación mediática
171,43,10,347,0.14,0.3862580094217574,1.6922835573366402,7,3,0,3,3,0.07374662739008622,2.0154997828644494,28.197834470133543,-1.0,Educación mediática
172,45,6,349,0.1325,0.38633285929325906,1.6922835573366402,4,2,0,1,1,0.07049458617533386,2.0154997828644494,17.413901487046207,-4.0,Educación mediática
173,45,6,349,0.1275,0.3863804874559215,1.6922835573366402,4,2,0,1,1,0.04353475371761552,1.4547854563752158,17.413901487046207,0.0,Educación mediática
174,45,6,349,0.1275,0.38642803470621456,1.6922835573366402,4,2,0,1,1,0.04353475371761552,1.4547854563752158,17.413901487046207,0.0,Educación mediática
175,44,6,350,0.1275,0.3864755012851506,1.6922835573366402,4,1,1,1,1,0.04353475371761552,1.4547854563752158,24.718052287195206,0.0,Educación mediática
176,42,6,352,0.125,0.38654797028245086,1.6922835573366402,4,1,1,1,1,0.06179513071798801,1.620329441555694,24.718052287195206,0.0,Educación mediática
177,42,6,352,0.12,0.38662025087326063,1.6922835573366402,5,1,0,1,1,0.06179513071798801,1.620329441555694,22.338019594084333,0.0,Educación mediática
178,41,7,352,0.12,0.38668278858529903,1.6922835573366402,5,1,1,1,1,0.055845048985210824,1.620329441555694,24.44323956221716,1.0,Educación mediática
179,41,6,353,0.12,0.3867540692298927,1.6922835573366402,5,0,1,1,1,0.06110809890554289,1.940950398714782,23.785625015838228,-1.0,Educación mediática
180,38,7,355,0.1175,0.3868226790656695,1.6922835573366402,5,0,2,1,1,0.05946406253959557,1.940950398714782,26.984958125725573,1.0,Educación mediática
181,37,7,356,0.1125,0.386903103400636,1.6922835573366402,6,0,1,1,1,0.06746239531431393,1.940950398714782,25.61554419874467,0.0,Educación mediática
