t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,topologia
232,6,21,373,0.0675,0.7718743910865262,1.5400109237910788,13,4,4,0,0,0.06682446114321287,3.3893628027191873,30.679046518999165,2.0,Small-world
233,5,22,373,0.0675,0.7720029488752138,1.5400109237910788,13,4,5,0,0,0.07669761629749791,3.3893628027191873,32.38359635671691,1.0,Small-world
234,5,22,373,0.0675,0.7721349690475869,1.5400109237910788,13,4,5,0,0,0.08095899089179227,3.3893628027191873,32.38359635671691,0.0,Small-world
235,5,22,373,0.0675,0.7722665219246025,1.5400109237910788,13,4,5,0,0,0.08095899089179227,3.3893628027191873,32.38359635671691,0.0,Small-world
236,5,22,373,0.0675,0.7723976101626436,1.5400109237910788,13,4,5,0,0,0.08095899089179227,3.3893628027191873,32.38359635671691,0.0,Small-world
237,4,23,373,0.0675,0.7725282363947684,1.5400109237910788,13,5,5,0,0,0.08095899089179227,3.3893628027191873,33.1792869209491,1.0,Small-world
238,4,23,373,0.0675,0.7726714264009016,1.5400109237910788,13,5,5,0,0,0.08294821730237277,3.3893628027191873,33.1792869209491,0.0,Small-world
239,4,21,375,0.0675,0.7728141362581938,1.5400109237910788,13,4,4,0,0,0.08294821730237277,3.3893628027191873,30.636372175478133,-2.0,Small-world
240,5,20,375,0.0625,0.7729476199715307,1.5400109237910788,12,4,4,0,0,0.07659093043869535,2.9421307174324816,28.806452992571693,-1.0,Small-world
241,5,20,375,0.0625,0.7730639501763588,1.5400109237910788,12,4,4,0,0,0.07201613248142925,2.9421307174324816,28.806452992571693,0.0,Small-world
242,6,19,375,0.0625,0.7731799047178314,1.5400109237910788,12,3,4,0,0,0.07201613248142925,2.9421307174324816,28.428654126978437,-1.0,Small-world
243,6,19,375,0.0625,0.773292925929182,1.5400109237910788,13,2,4,0,0,0.0710716353174461,2.9421307174324816,30.218338777331265,0.0,Small-world
244,4,21,375,0.0625,0.7734091612684559,1.5400109237910788,14,3,4,0,0,0.07554584694332817,2.9421307174324816,32.83975496445601,2.0,Small-world
245,4,21,375,0.0625,0.7735569795442493,1.5400109237910788,14,3,4,0,0,0.08209938741114005,2.9421307174324816,32.83975496445601,0.0,Small-world
246,4,21,375,0.0625,0.7737042595218918,1.5400109237910788,14,3,4,0,0,0.08209938741114005,2.9421307174324816,32.42186326581707,0.0,Small-world
247,4,21,375,0.0625,0.773840734155681,1.5400109237910788,14,3,4,0,0,0.0810546581645427,2.9421307174324816,32.42186326581707,0.0,Small-world
248,5,20,375,0.0625,0.7739767029952097,1.5400109237910788,13,3,4,0,0,0.0810546581645427,2.9421307174324816,31.602562849040606,-1.0,Small-world
249,7,18,375,0.0625,0.7741048277164176,1.5400109237910788,11,3,4,0,0,0.07900640712260153,2.9421307174324816,29.318905564704455,-2.0,Small-world
0,341,16,43,0.9,0.2589668938204975,1.9901689638223687,9,5,2,5,5,0.027897679803666805,0.6940897390419115,24.734820539502866,,Scale-free
1,330,24,46,0.8925,0.25987316778991515,1.9901689638223687,12,10,2,7,7,0.06183705134875716,1.3176962400755639,47.71347039842978,8.0,Scale-free
2,317,36,47,0.885,0.26156748263645097,1.9901689638223687,15,17,4,15,15,0.11928367599607444,1.6890800180761154,97.77445408795738,12.0,Scale-free
3,293,60,47,0.8825,0.2650423459066379,1.9901689638223687,30,23,7,31,31,0.2444361352198935,2.541627809047542,169.84957870030797,24.0,Scale-free
4,269,82,49,0.8825,0.27096843705634166,1.9901689638223687,35,34,13,44,44,0.42462394675076987,3.7950375972195696,264.6800921329303,22.0,Scale-free
5,274,76,50,0.8775,0.27969444386286557,1.9901689638223687,37,27,12,29,29,0.6617002303323261,7.225536849102136,181.34212203113032,-6.0,Scale-free
6,248,100,52,0.875,0.2853217057388888,1.9901689638223687,45,38,17,42,42,0.45335530507782595,4.95293974389061,286.9927518286829,24.0,Scale-free
7,240,107,53,0.87,0.29373249460590023,1.9901689638223687,50,42,15,43,43,0.7174818795717076,8.852423873374489,296.484203914378,7.0,Scale-free
8,242,105,53,0.8675,0.30189545205695933,1.9901689638223687,49,40,16,39,39,0.7412105097859449,7.86693798943474,292.56266291812085,-2.0,Scale-free
9,233,113,54,0.8675,0.3092350245770291,1.9901689638223687,51,43,19,44,44,0.731406657295302,8.691963647895307,274.73738434154416,8.0,Scale-free
10,225,120,55,0.865,0.31573528839367376,1.9901689638223687,54,43,23,41,41,0.6868434608538607,6.964747127641419,311.8123523988449,7.0,Scale-free
11,234,109,57,0.8625,0.322497224167431,1.9901689638223687,50,41,18,41,41,0.7795308809971124,9.1065670440699,271.46604473348424,-11.0,Scale-free
12,227,114,59,0.8575,0.32801344131300314,1.9901689638223687,54,38,22,44,44,0.678665111833711,6.563620734081946,288.9381988354003,5.0,Scale-free
13,215,125,60,0.8525,0.333467419423514,1.9901689638223687,63,44,18,47,47,0.7223454970885007,7.6816948636051805,330.2344761734737,11.0,Scale-free
14,232,108,60,0.85,0.3393071739167667,1.9901689638223687,51,40,17,37,37,0.825586190433684,9.405034906274727,285.08932413554504,-17.0,Scale-free
15,224,115,61,0.85,0.3439527058388318,1.9901689638223687,53,43,19,43,43,0.7127233103388627,7.734385228427138,302.9534522670391,7.0,Scale-free
16,217,122,61,0.8475,0.34857991279351885,1.9901689638223687,55,46,21,42,42,0.7573836306675977,9.03596449559841,279.2556400140114,7.0,Scale-free
17,216,123,61,0.8475,0.3526906035256495,1.9901689638223687,49,53,21,40,40,0.6981391000350289,6.68131148339254,304.15502972144907,1.0,Scale-free
18,214,121,65,0.8475,0.35689101409415147,1.9901689638223687,50,47,24,44,44,0.7603875743036229,8.046289954820002,326.26272236527376,-2.0,Scale-free
19,208,126,66,0.8375,0.36109664209466064,1.9901689638223687,51,50,25,43,43,0.8156568059131846,8.487371601611057,312.1763671509159,5.0,Scale-free
20,212,122,66,0.835,0.36498167323472486,1.9901689638223687,55,48,19,42,42,0.78044091787729,7.654781206597305,301.63812684429837,-4.0,Scale-free
21,204,129,67,0.835,0.3684663825031737,1.9901689638223687,58,53,18,45,45,0.7540953171107457,7.370826388264151,310.3705327069234,7.0,Scale-free
22,193,138,69,0.8325,0.37193360102618045,1.9901689638223687,62,55,21,46,46,0.7759263317673087,7.877276110429423,328.14846321098446,9.0,Scale-free
23,196,134,70,0.8275,0.37533901923978275,1.9901689638223687,60,53,21,42,42,0.8203711580274614,8.748258249615382,318.26009554819535,-4.0,Scale-free
24,195,133,72,0.825,0.378468146178389,1.9901689638223687,60,50,23,41,41,0.7956502388704885,8.364750946353029,333.30678867972586,-1.0,Scale-free
25,195,133,72,0.82,0.3816005771537764,1.9901689638223687,53,56,24,40,40,0.833266971699315,9.281799456733527,306.60978389435365,0.0,Scale-free
